season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2013,ARI,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2013,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2013,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2013,BUF,E.Manuel,00-0030526,10,1,15,1990-03-19,2013.0,BUF
2013,CAR,C.Newton,00-0027939,16,1,17,1989-05-11,2011.0,CAR
2013,CHI,J.Cutler,00-0024226,11,1,17,1983-04-29,2006.0,DEN
2013,CIN,A.Dalton,00-0027973,16,1,17,1987-10-29,2011.0,CIN
2013,CLE,J.Campbell,00-0023460,8,8,17,1981-12-31,2005.0,WAS
2013,DAL,T.Romo,00-0021678,15,1,16,1980-04-21,,
2013,DEN,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2013,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2013,GB,A.Rodgers,00-0023459,9,1,17,1983-12-02,2005.0,GB
2013,HOU,M.Schaub,00-0022787,8,1,17,1981-06-25,2004.0,ATL
2013,IND,A.Luck,00-0029668,16,1,17,1989-09-12,2012.0,IND
2013,JAX,C.Henne,00-0026197,13,2,17,1985-07-02,2008.0,MIA
2013,KC,A.Smith,00-0023436,15,1,16,1984-05-07,,
2013,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2013,LAR,K.Clemens,00-0024264,9,8,17,1983-06-06,2006.0,NYJ
2013,LV,T.Pryor,00-0028825,9,1,17,1989-06-20,2011.0,LV
2013,MIA,R.Tannehill,00-0029701,16,1,17,1988-07-27,2012.0,MIA
2013,MIN,C.Ponder,00-0027950,9,1,13,1988-02-25,2011.0,MIN
2013,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2013,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2013,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2013,NYJ,G.Smith,00-0030565,15,1,17,1990-10-10,2013.0,NYJ
2013,PHI,N.Foles,00-0029567,10,6,17,1989-01-20,2012.0,PHI
2013,PIT,B.Roethlisberger,00-0022924,16,1,17,1982-03-02,2004.0,PIT
2013,SEA,R.Wilson,00-0029263,16,1,17,1988-11-29,2012.0,SEA
2013,SF,C.Kaepernick,00-0027974,16,1,17,1987-11-03,2011.0,SF
2013,TB,M.Glennon,00-0030520,13,4,17,1989-12-12,2013.0,TB
2013,TEN,R.Fitzpatrick,00-0023682,9,5,17,1982-11-24,2005.0,LA
2013,WAS,R.Griffin,00-0029665,13,1,14,1990-02-12,,
