season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2024,ARI,K.Murray,00-0035228,17,1,18,1997-08-07,2019.0,ARI
2024,ATL,K.Cousins,00-0029604,14,1,15,1988-08-19,2012.0,WAS
2024,BAL,L.Jackson,00-0034796,17,1,18,1997-01-07,2018.0,BAL
2024,BUF,J.Allen,00-0034857,16,1,17,1996-05-21,2018.0,BUF
2024,CAR,B.Young,00-0039150,12,1,18,2001-07-25,2023.0,CAR
2024,CHI,C.Williams,00-0039918,17,1,18,2001-11-18,2024.0,CHI
2024,CIN,J.Burrow,00-0036442,17,1,18,1996-12-10,2020.0,CIN
2024,CLE,D.Watson,00-0033537,7,1,7,1995-09-14,2017.0,HOU
2024,DAL,D.Prescott,00-0033077,8,1,9,1993-07-29,2016.0,DAL
2024,DEN,B.Nix,00-0039732,17,1,18,2000-02-25,2024.0,DEN
2024,DET,J.Goff,00-0033106,17,1,18,1994-10-14,2016.0,LA
2024,GB,J.Love,00-0036264,15,1,18,1998-11-02,2020.0,GB
2024,HOU,C.Stroud,00-0039163,17,1,18,2001-10-03,2023.0,HOU
2024,IND,A.Richardson,00-0039164,11,1,16,2002-05-22,2023.0,IND
2024,JAX,T.Lawrence,00-0036971,10,1,13,1999-10-06,2021.0,JAX
2024,KC,P.Mahomes,00-0033873,16,1,17,1995-09-17,2017.0,KC
2024,LAC,J.Herbert,00-0036355,17,1,18,1998-03-10,2020.0,LAC
2024,LAR,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2024,LV,G.Minshew,00-0035289,9,1,12,1996-05-16,2019.0,JAX
2024,MIA,T.Tagovailoa,00-0036212,11,1,16,1998-03-02,2020.0,MIA
2024,MIN,S.Darnold,00-0034869,17,1,18,1997-06-05,2018.0,NYJ
2024,NE,D.Maye,00-0039851,12,6,18,2002-08-30,2024.0,NE
2024,NO,D.Carr,00-0031280,10,1,14,1991-03-28,2014.0,LV
2024,NYG,D.Jones,00-0035710,10,1,10,1997-05-27,2019.0,NYG
2024,NYJ,A.Rodgers,00-0023459,17,1,18,1983-12-02,2005.0,GB
2024,PHI,J.Hurts,00-0036389,15,1,16,1998-08-07,2020.0,PHI
2024,PIT,R.Wilson,00-0029263,11,7,18,1988-11-29,2012.0,SEA
2024,SEA,G.Smith,00-0030565,17,1,18,1990-10-10,2013.0,NYJ
2024,SF,B.Purdy,00-0037834,15,1,17,1999-12-27,2022.0,SF
2024,TB,B.Mayfield,00-0034855,17,1,18,1995-04-14,2018.0,CLE
2024,TEN,W.Levis,00-0039152,12,1,18,1999-06-27,2023.0,TEN
2024,WAS,J.Daniels,00-0039910,17,1,18,2000-12-18,2024.0,WAS
