season,pct_drafted
1999,0.0
2000,0.0
2001,50.0
2002,0.0
2003,50.0
2004,100.0
2005,50.0
2006,100.0
2007,50.0
2008,50.0
2009,50.0
2010,100.0
2011,50.0
2012,50.0
2013,50.0
2014,100.0
2015,50.0
2016,100.0
2017,50.0
2018,100.0
2019,50.0
2020,50.0
2021,50.0
2022,100.0
2023,100.0
2024,100.0
