season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2018,ARI,J.Rosen,00-0034343,13,4,17,1997-02-10,2018.0,ARI
2018,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2018,BAL,J.Flacco,00-0026158,9,1,9,1985-01-16,2008.0,BAL
2018,BUF,J.Allen,00-0034857,11,2,17,1996-05-21,2018.0,BUF
2018,CAR,C.Newton,00-0027939,14,1,15,1989-05-11,2011.0,CAR
2018,CHI,M.Trubisky,00-0033869,14,1,17,1994-08-20,2017.0,CHI
2018,CIN,A.Dalton,00-0027973,11,1,12,1987-10-29,2011.0,CIN
2018,CLE,B.Mayfield,00-0034855,13,4,17,1995-04-14,2018.0,CLE
2018,DAL,D.Prescott,00-0033077,16,1,17,1993-07-29,2016.0,DAL
2018,DEN,C.Keenum,00-0028986,16,1,17,1988-02-17,,
2018,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2018,GB,A.Rodgers,00-0023459,16,1,17,1983-12-02,2005.0,GB
2018,HOU,D.Watson,00-0033537,16,1,17,1995-09-14,2017.0,HOU
2018,IND,A.Luck,00-0029668,16,1,17,1989-09-12,2012.0,IND
2018,JAX,B.Bortles,00-0031407,12,1,17,1992-04-28,2014.0,JAX
2018,KC,P.Mahomes,00-0033873,16,1,17,1995-09-17,2017.0,KC
2018,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2018,LAR,J.Goff,00-0033106,16,1,17,1994-10-14,2016.0,LA
2018,LV,D.Carr,00-0031280,16,1,17,1991-03-28,2014.0,LV
2018,MIA,R.Tannehill,00-0029701,11,1,17,1988-07-27,2012.0,MIA
2018,MIN,K.Cousins,00-0029604,16,1,17,1988-08-19,2012.0,WAS
2018,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2018,NO,D.Brees,00-0020531,15,1,16,1979-01-15,2001.0,LAC
2018,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2018,NYJ,S.Darnold,00-0034869,12,1,17,1997-06-05,2018.0,NYJ
2018,PHI,C.Wentz,00-0032950,11,3,14,1992-12-30,2016.0,PHI
2018,PIT,B.Roethlisberger,00-0022924,16,1,17,1982-03-02,2004.0,PIT
2018,SEA,R.Wilson,00-0029263,16,1,17,1988-11-29,2012.0,SEA
2018,SF,N.Mullens,00-0033319,8,9,17,1995-03-21,,
2018,TB,J.Winston,00-0031503,9,6,17,1994-01-06,2015.0,TB
2018,TEN,M.Mariota,00-0032268,13,1,16,1993-10-30,2015.0,TEN
2018,WAS,A.Smith,00-0023436,10,1,11,1984-05-07,,
