season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2021,ARI,K.Murray,00-0035228,14,1,18,1997-08-07,2019.0,ARI
2021,ATL,M.Ryan,00-0026143,17,1,18,1985-05-17,2008.0,ATL
2021,BAL,L.Jackson,00-0034796,12,1,14,1997-01-07,2018.0,BAL
2021,BUF,J.Allen,00-0034857,16,1,18,1996-05-21,2018.0,BUF
2021,CAR,S.Darnold,00-0034869,11,1,18,1997-06-05,2018.0,NYJ
2021,CHI,J.Fields,00-0036945,10,3,15,1999-03-05,2021.0,CHI
2021,CIN,J.Burrow,00-0036442,16,1,17,1996-12-10,2020.0,CIN
2021,CLE,B.Mayfield,00-0034855,14,1,17,1995-04-14,2018.0,CLE
2021,DAL,D.Prescott,00-0033077,16,1,18,1993-07-29,2016.0,DAL
2021,DEN,T.Bridgewater,00-0031237,14,1,15,1992-11-10,2014.0,MIN
2021,DET,J.Goff,00-0033106,14,1,18,1994-10-14,2016.0,LA
2021,GB,Aa.Rodgers,00-0023459,8,1,8,1983-12-02,2005.0,GB
2021,HOU,D.Mills,00-0036898,11,3,18,1998-10-21,2021.0,HOU
2021,IND,C.Wentz,00-0032950,17,1,18,1992-12-30,2016.0,PHI
2021,JAX,T.Lawrence,00-0036971,17,1,18,1999-10-06,2021.0,JAX
2021,KC,P.Mahomes,00-0033873,17,1,18,1995-09-17,2017.0,KC
2021,LAC,J.Herbert,00-0036355,17,1,18,1998-03-10,2020.0,LAC
2021,LAR,M.Stafford,00-0026498,17,1,18,1988-02-07,2009.0,DET
2021,LV,D.Carr,00-0031280,17,1,18,1991-03-28,2014.0,LV
2021,MIA,T.Tagovailoa,00-0036212,12,1,18,1998-03-02,2020.0,MIA
2021,MIN,K.Cousins,00-0029604,16,1,18,1988-08-19,2012.0,WAS
2021,NE,M.Jones,00-0036972,17,1,18,1998-09-05,2021.0,NE
2021,NO,J.Winston,00-0031503,7,1,8,1994-01-06,2015.0,TB
2021,NYG,D.Jones,00-0035710,11,1,12,1997-05-27,2019.0,NYG
2021,NYJ,Z.Wilson,00-0037013,13,1,18,1999-08-03,2021.0,NYJ
2021,PHI,J.Hurts,00-0036389,15,1,17,1998-08-07,2020.0,PHI
2021,PIT,B.Roethlisberger,00-0022924,16,1,18,1982-03-02,2004.0,PIT
2021,SEA,R.Wilson,00-0029263,14,1,18,1988-11-29,2012.0,SEA
2021,SF,J.Garoppolo,00-0031345,15,1,18,1991-11-02,2014.0,NE
2021,TB,T.Brady,00-0019596,17,1,18,1977-08-03,2000.0,NE
2021,TEN,R.Tannehill,00-0029701,17,1,18,1988-07-27,2012.0,MIA
2021,WAS,T.Heinicke,00-0031800,15,2,18,1993-03-15,,
