season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2002,LAR,M. Bulger,00-0019599,7,6,16,1977-04-05,2000.0,NO
2002,LV,R. Gannon,00-0005741,10,8,17,1965-12-20,1987.0,NE
2002,MIA,J. Fiedler,00-0005180,7,4,17,1971-12-29,,
2002,MIN,D.Culpepper,00-0003739,16,1,17,1977-01-28,1999.0,MIN
2002,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2002,NO,A.Brooks,00-0001823,16,1,17,1976-03-24,1999.0,GB
2002,NYG,K.Collins,00-0003292,16,1,17,1972-12-30,1995.0,CAR
2002,NYJ,C.Pennington,00-0019559,12,5,17,1976-06-26,2000.0,NYJ
2002,PHI,D.McNabb,00-0011022,10,1,11,1976-11-25,1999.0,PHI
2002,PIT,T.Maddox,00-0010261,11,5,17,1971-09-02,1992.0,DEN
2002,SEA,M.Hasselbeck,00-0007091,10,1,17,1975-09-25,1998.0,GB
2002,SF,J.Garcia,00-0005755,16,1,17,1970-02-24,,
2002,TB,B.Johnson,00-0008442,13,1,15,1968-09-13,1992.0,MIN
2002,TEN,S.McNair,00-0011024,16,1,17,1973-02-14,1995.0,HOU
2002,WAS,S.Matthews,00-0010560,7,1,11,1970-06-01,,
2003,ARI,J.Blake,00-0001335,13,1,14,1970-12-04,1992.0,NYJ
2003,ATL,D.Johnson,00-0019087,8,1,13,1977-10-27,,
2003,BAL,K.Boller,00-0022164,9,1,10,1981-06-17,2003.0,BAL
2003,BUF,D.Bledsoe,00-0001361,14,1,17,1972-02-14,1993.0,NE
2003,CAR,J.Delhomme,00-0004161,15,2,17,1975-01-10,,
2003,CHI,K.Stewart,00-0015700,7,1,14,1972-10-16,1995.0,PIT
2003,CIN,J.Kitna,00-0009311,16,1,17,1972-09-21,,
2003,CLE,T.Couch,00-0003535,5,4,8,1977-07-31,1999.0,CLE
2003,DAL,Q.Carter,00-0020404,16,1,17,1977-10-13,2001.0,DAL
2003,DEN,J.Plummer,00-0013042,10,1,16,1974-12-19,1997.0,ARI
2003,DET,J.Harrington,00-0021141,13,1,14,1978-10-21,2002.0,DET
2003,GB,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2003,HOU,D.Carr,00-0020608,11,1,17,1979-07-21,2002.0,HOU
2003,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2003,JAX,B.Leftwich,00-0022177,13,4,17,1980-01-14,2003.0,JAX
2003,KC,T. Green,00-0006355,16,1,17,1970-07-09,1993.0,LAC
2003,LAC,D. Brees,00-0020531,11,1,17,1979-01-15,2001.0,LAC
2003,LAR,M.Bulger,00-0019599,15,2,17,1977-04-05,2000.0,NO
2003,LV,R.Gannon,00-0005741,7,1,7,1965-12-20,1987.0,NE
2003,MIA,J.Fiedler,00-0005180,11,1,17,1971-12-29,,
2003,MIN,D. Culpepper,00-0003739,14,1,17,1977-01-28,1999.0,MIN
2003,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2003,NO,A.Brooks,00-0001823,16,1,17,1976-03-24,1999.0,GB
2003,NYG,K.Collins,00-0003292,13,1,14,1972-12-30,1995.0,CAR
2003,NYJ,C.Pennington,00-0019559,9,9,17,1976-06-26,2000.0,NYJ
2003,PHI,D.McNabb,00-0011022,16,1,17,1976-11-25,1999.0,PHI
2003,PIT,T. Maddox,00-0010261,12,2,14,1971-09-02,1992.0,DEN
2003,SEA,M.Hasselbeck,00-0007091,16,1,17,1975-09-25,1998.0,GB
2003,SF,J.Garcia,00-0005755,13,1,17,1970-02-24,,
2003,TB,B.Johnson,00-0008442,16,1,17,1968-09-13,1992.0,MIN
