season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2022,ARI,K.Murray,00-0035228,11,1,14,1997-08-07,2019.0,ARI
2022,ATL,M.Mariota,00-0032268,13,1,13,1993-10-30,2015.0,TEN
2022,BAL,L.Jackson,00-0034796,12,1,13,1997-01-07,2018.0,BAL
2022,BUF,J.Allen,00-0034857,16,1,18,1996-05-21,2018.0,BUF
2022,CAR,B.Mayfield,00-0034855,6,1,11,1995-04-14,2018.0,CLE
2022,CHI,J.Fields,00-0036945,15,1,17,1999-03-05,2021.0,CHI
2022,CIN,J.Burrow,00-0036442,16,1,18,1996-12-10,2020.0,CIN
2022,CLE,J.Brissett,00-0033119,11,1,12,1992-12-11,2016.0,NE
2022,DAL,D.Prescott,00-0033077,12,1,18,1993-07-29,2016.0,DAL
2022,DEN,R.Wilson,00-0029263,15,1,18,1988-11-29,2012.0,SEA
2022,DET,J.Goff,00-0033106,17,1,18,1994-10-14,2016.0,LA
2022,GB,A.Rodgers,00-0023459,17,1,18,1983-12-02,2005.0,GB
2022,HOU,D.Mills,00-0036898,14,1,18,1998-10-21,2021.0,HOU
2022,IND,M.Ryan,00-0026143,12,1,15,1985-05-17,2008.0,ATL
2022,JAX,T.Lawrence,00-0036971,17,1,18,1999-10-06,2021.0,JAX
2022,KC,P.Mahomes,00-0033873,17,1,18,1995-09-17,2017.0,KC
2022,LAC,J.Herbert,00-0036355,17,1,18,1998-03-10,2020.0,LAC
2022,LAR,M.Stafford,00-0026498,9,1,11,1988-02-07,2009.0,DET
2022,LV,D.Carr,00-0031280,15,1,16,1991-03-28,2014.0,LV
2022,MIA,T.Tagovailoa,00-0036212,13,1,16,1998-03-02,2020.0,MIA
2022,MIN,K.Cousins,00-0029604,17,1,18,1988-08-19,2012.0,WAS
2022,NE,M.Jones,00-0036972,14,1,18,1998-09-05,2021.0,NE
2022,NO,A.Dalton,00-0027973,14,4,18,1987-10-29,2011.0,CIN
2022,NYG,D.Jones,00-0035710,16,1,17,1997-05-27,2019.0,NYG
2022,NYJ,Z.Wilson,00-0037013,9,4,16,1999-08-03,2021.0,NYJ
2022,PHI,J.Hurts,00-0036389,15,1,18,1998-08-07,2020.0,PHI
2022,PIT,K.Pickett,00-0038102,12,5,18,1998-06-06,2022.0,PIT
2022,SEA,G.Smith,00-0030565,17,1,18,1990-10-10,2013.0,NYJ
2022,SF,J.Garoppolo,00-0031345,10,3,13,1991-11-02,2014.0,NE
2022,TB,T.Brady,00-0019596,17,1,18,1977-08-03,2000.0,NE
2022,TEN,R.Tannehill,00-0029701,12,1,15,1988-07-27,2012.0,MIA
2022,WAS,T.Heinicke,00-0031800,9,7,16,1993-03-15,,
