season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2023,ARI,J.Dobbs,00-0033949,8,1,8,1995-01-26,2017.0,PIT
2023,ATL,D.Ridder,00-0038122,13,1,18,1999-08-31,2022.0,ATL
2023,BAL,L.Jackson,00-0034796,16,1,17,1997-01-07,2018.0,BAL
2023,BUF,J.Allen,00-0034857,17,1,18,1996-05-21,2018.0,BUF
2023,CAR,B.Young,00-0039150,16,1,18,2001-07-25,2023.0,CAR
2023,CHI,J.Fields,00-0036945,13,1,18,1999-03-05,2021.0,CHI
2023,CIN,J.Burrow,00-0036442,10,1,11,1996-12-10,2020.0,CIN
2023,CLE,D.Watson,00-0033537,6,1,10,1995-09-14,2017.0,HOU
2023,DAL,D.Prescott,00-0033077,17,1,18,1993-07-29,2016.0,DAL
2023,DEN,R.Wilson,00-0029263,15,1,16,1988-11-29,2012.0,SEA
2023,DET,J.Goff,00-0033106,17,1,18,1994-10-14,2016.0,LA
2023,GB,J.Love,00-0036264,17,1,18,1998-11-02,2020.0,GB
2023,HOU,C.Stroud,00-0039163,15,1,18,2001-10-03,2023.0,HOU
2023,IND,G.Minshew,00-0035289,13,3,18,1996-05-16,2019.0,JAX
2023,JAX,T.Lawrence,00-0036971,16,1,18,1999-10-06,2021.0,JAX
2023,KC,P.Mahomes,00-0033873,16,1,17,1995-09-17,2017.0,KC
2023,LAC,J.Herbert,00-0036355,13,1,14,1998-03-10,2020.0,LAC
2023,LAR,M.Stafford,00-0026498,15,1,17,1988-02-07,2009.0,DET
2023,LV,A.O'Connell,00-0038579,10,4,18,1998-09-01,2023.0,LV
2023,MIA,T.Tagovailoa,00-0036212,17,1,18,1998-03-02,2020.0,MIA
2023,MIN,K.Cousins,00-0029604,8,1,8,1988-08-19,2012.0,WAS
2023,NE,M.Jones,00-0036972,11,1,12,1998-09-05,2021.0,NE
2023,NO,D.Carr,00-0031280,17,1,18,1991-03-28,2014.0,LV
2023,NYG,D.Jones,00-0035710,6,1,9,1997-05-27,2019.0,NYG
2023,NYJ,Z.Wilson,00-0037013,11,2,15,1999-08-03,2021.0,NYJ
2023,PHI,J.Hurts,00-0036389,17,1,18,1998-08-07,2020.0,PHI
2023,PIT,K.Pickett,00-0038102,12,1,13,1998-06-06,2022.0,PIT
2023,SEA,G.Smith,00-0030565,15,1,18,1990-10-10,2013.0,NYJ
2023,SF,B.Purdy,00-0037834,16,1,17,1999-12-27,2022.0,SF
2023,TB,B.Mayfield,00-0034855,17,1,18,1995-04-14,2018.0,CLE
2023,TEN,W.Levis,00-0039152,9,8,17,1999-06-27,2023.0,TEN
2023,WAS,S.Howell,00-0037077,17,1,18,2000-09-16,2022.0,WAS
