season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2017,ARI,C.Palmer,00-0021429,7,1,7,1979-12-27,2003.0,CIN
2017,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2017,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2017,BUF,T.Taylor,00-0028118,14,1,17,1989-08-03,2011.0,BAL
2017,CAR,C.Newton,00-0027939,16,1,17,1989-05-11,2011.0,CAR
2017,CHI,M.Trubisky,00-0033869,12,5,17,1994-08-20,2017.0,CHI
2017,CIN,A.Dalton,00-0027973,16,1,17,1987-10-29,2011.0,CIN
2017,CLE,D.Kizer,00-0033899,15,1,17,1996-01-03,2017.0,CLE
2017,DAL,D.Prescott,00-0033077,16,1,17,1993-07-29,2016.0,DAL
2017,DEN,T.Siemian,00-0032156,10,1,15,1991-12-26,2015.0,DEN
2017,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2017,GB,B.Hundley,00-0031589,9,7,17,1993-06-15,2015.0,GB
2017,HOU,T.Savage,00-0031064,7,1,14,1990-04-26,2014.0,HOU
2017,IND,J.Brissett,00-0033119,15,2,17,1992-12-11,2016.0,NE
2017,JAX,B.Bortles,00-0031407,16,1,17,1992-04-28,2014.0,JAX
2017,KC,A.Smith,00-0023436,15,1,16,1984-05-07,,
2017,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2017,LAR,J.Goff,00-0033106,15,1,16,1994-10-14,2016.0,LA
2017,LV,D.Carr,00-0031280,15,1,17,1991-03-28,2014.0,LV
2017,MIA,J.Cutler,00-0024226,14,2,17,1983-04-29,2006.0,DEN
2017,MIN,C.Keenum,00-0028986,14,2,17,1988-02-17,,
2017,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2017,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2017,NYG,E.Manning,00-0022803,15,1,17,1981-01-03,2004.0,LAC
2017,NYJ,J.McCown,00-0021206,13,1,14,1979-07-04,2002.0,ARI
2017,PHI,C.Wentz,00-0032950,13,1,14,1992-12-30,2016.0,PHI
2017,PIT,B.Roethlisberger,00-0022924,15,1,16,1982-03-02,2004.0,PIT
2017,SEA,R.Wilson,00-0029263,16,1,17,1988-11-29,2012.0,SEA
2017,SF,B.Hoyer,00-0026625,6,1,6,1985-10-13,,
2017,TB,J.Winston,00-0031503,13,2,17,1994-01-06,2015.0,TB
2017,TEN,M.Mariota,00-0032268,15,1,17,1993-10-30,2015.0,TEN
2017,WAS,K.Cousins,00-0029604,16,1,17,1988-08-19,2012.0,WAS
