season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2011,ARI,K.Kolb,00-0025423,9,1,14,1984-08-24,2007.0,PHI
2011,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2011,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2011,BUF,R.Fitzpatrick,00-0023682,16,1,17,1982-11-24,2005.0,LA
2011,CAR,C.Newton,00-0027939,16,1,17,1989-05-11,2011.0,CAR
2011,CHI,J.Cutler,00-0024226,10,1,11,1983-04-29,2006.0,DEN
2011,CIN,A.Dalton,00-0027973,16,1,17,1987-10-29,2011.0,CIN
2011,CLE,C.McCoy,00-0027688,13,1,14,1986-09-05,2010.0,CLE
2011,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2011,DEN,T.Tebow,00-0027876,11,7,17,1987-08-14,2010.0,DEN
2011,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2011,GB,A.Rodgers,00-0023459,15,1,16,1983-12-02,2005.0,GB
2011,HOU,M.Schaub,00-0022787,10,1,10,1981-06-25,2004.0,ATL
2011,IND,C.Painter,00-0027134,8,4,12,1985-06-24,2009.0,IND
2011,JAX,B.Gabbert,00-0027948,14,3,17,1989-10-15,2011.0,JAX
2011,KC,M.Cassel,00-0023662,9,1,10,1982-05-17,2005.0,NE
2011,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2011,LAR,S.Bradford,00-0027854,9,1,14,1987-11-08,2010.0,LA
2011,LV,C.Palmer,00-0021429,9,9,17,1979-12-27,2003.0,CIN
2011,MIA,M.Moore,00-0025708,12,6,17,1984-08-09,,
2011,MIN,C.Ponder,00-0027950,10,7,17,1988-02-25,2011.0,MIN
2011,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2011,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2011,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2011,NYJ,M.Sanchez,00-0026898,16,1,17,1986-11-11,2009.0,NYJ
2011,PHI,M.Vick,00-0020245,13,1,17,1980-06-26,2001.0,ATL
2011,PIT,B.Roethlisberger,00-0022924,15,1,17,1982-03-02,2004.0,PIT
2011,SEA,T.Jackson,00-0024279,13,1,17,1983-04-21,2006.0,MIN
2011,SF,Alex Smith,00-0023436,13,4,17,1984-05-07,,
2011,TB,J.Freeman,00-0026993,15,1,17,1988-01-13,2009.0,TB
2011,TEN,M.Hasselbeck,00-0007091,16,1,17,1975-09-25,1998.0,GB
2011,WAS,R.Grossman,00-0022121,13,1,17,1980-08-23,2003.0,CHI
