season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2016,ARI,C.Palmer,00-0021429,15,1,17,1979-12-27,2003.0,CIN
2016,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2016,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2016,BUF,T.Taylor,00-0028118,15,1,16,1989-08-03,2011.0,BAL
2016,CAR,C.Newton,00-0027939,14,1,17,1989-05-11,2011.0,CAR
2016,CHI,M.Barkley,00-0030533,6,12,17,1990-09-08,2013.0,PHI
2016,CIN,A.Dalton,00-0027973,16,1,17,1987-10-29,2011.0,CIN
2016,CLE,C.Kessler,00-0033104,8,3,11,1993-05-11,2016.0,CLE
2016,DAL,D.Prescott,00-0033077,16,1,17,1993-07-29,2016.0,DAL
2016,DEN,T.Siemian,00-0032156,14,1,17,1991-12-26,2015.0,DEN
2016,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2016,GB,A.Rodgers,00-0023459,16,1,17,1983-12-02,2005.0,GB
2016,HOU,B.Osweiler,00-0029682,14,1,15,1990-11-22,2012.0,DEN
2016,IND,A.Luck,00-0029668,15,1,17,1989-09-12,2012.0,IND
2016,JAX,B.Bortles,00-0031407,16,1,17,1992-04-28,2014.0,JAX
2016,KC,A.Smith,00-0023436,15,1,17,1984-05-07,,
2016,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2016,LAR,C.Keenum,00-0028986,9,1,10,1988-02-17,,
2016,LV,D.Carr,00-0031280,15,1,16,1991-03-28,2014.0,LV
2016,MIA,R.Tannehill,00-0029701,13,1,14,1988-07-27,2012.0,MIA
2016,MIN,S.Bradford,00-0027854,15,2,17,1987-11-08,2010.0,LA
2016,NE,T.Brady,00-0019596,12,5,17,1977-08-03,2000.0,NE
2016,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2016,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2016,NYJ,R.Fitzpatrick,00-0023682,11,1,17,1982-11-24,2005.0,LA
2016,PHI,C.Wentz,00-0032950,16,1,17,1992-12-30,2016.0,PHI
2016,PIT,B.Roethlisberger,00-0022924,14,1,16,1982-03-02,2004.0,PIT
2016,SEA,R.Wilson,00-0029263,16,1,17,1988-11-29,2012.0,SEA
2016,SF,C.Kaepernick,00-0027974,11,6,17,1987-11-03,2011.0,SF
2016,TB,J.Winston,00-0031503,16,1,17,1994-01-06,2015.0,TB
2016,TEN,M.Mariota,00-0032268,15,1,16,1993-10-30,2015.0,TEN
2016,WAS,K.Cousins,00-0029604,16,1,17,1988-08-19,2012.0,WAS
