season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2015,ARI,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2015,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2015,BAL,J.Flacco,00-0026158,10,1,11,1985-01-16,2008.0,BAL
2015,BUF,T.Taylor,00-0028118,14,1,17,1989-08-03,2011.0,BAL
2015,CAR,C.Newton,00-0027939,16,1,17,1989-05-11,2011.0,CAR
2015,CHI,J.Cutler,00-0024226,15,1,17,1983-04-29,2006.0,DEN
2015,CIN,A.Dalton,00-0027973,13,1,14,1987-10-29,2011.0,CIN
2015,CLE,J.McCown,00-0021206,8,1,12,1979-07-04,2002.0,ARI
2015,DAL,M.Cassel,00-0023662,7,7,15,1982-05-17,2005.0,NE
2015,DEN,P.Manning,00-0010346,9,1,10,1976-03-24,1998.0,IND
2015,DET,M.Stafford,00-0026498,16,1,17,1988-02-07,2009.0,DET
2015,GB,A.Rodgers,00-0023459,16,1,17,1983-12-02,2005.0,GB
2015,HOU,B.Hoyer,00-0026625,9,1,17,1985-10-13,,
2015,IND,M.Hasselbeck,00-0007091,8,4,16,1975-09-25,1998.0,GB
2015,JAX,B.Bortles,00-0031407,16,1,17,1992-04-28,2014.0,JAX
2015,KC,A.Smith,00-0023436,16,1,17,1984-05-07,,
2015,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2015,LAR,N.Foles,00-0029567,11,1,13,1989-01-20,2012.0,PHI
2015,LV,D.Carr,00-0031280,16,1,17,1991-03-28,2014.0,LV
2015,MIA,R.Tannehill,00-0029701,16,1,17,1988-07-27,2012.0,MIA
2015,MIN,T.Bridgewater,00-0031237,16,1,17,1992-11-10,2014.0,MIN
2015,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2015,NO,D.Brees,00-0020531,15,1,17,1979-01-15,2001.0,LAC
2015,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2015,NYJ,R.Fitzpatrick,00-0023682,16,1,17,1982-11-24,2005.0,LA
2015,PHI,S.Bradford,00-0027854,14,1,17,1987-11-08,2010.0,LA
2015,PIT,B.Roethlisberger,00-0022924,11,1,17,1982-03-02,2004.0,PIT
2015,SEA,R.Wilson,00-0029263,16,1,17,1988-11-29,2012.0,SEA
2015,SF,C.Kaepernick,00-0027974,8,1,8,1987-11-03,2011.0,SF
2015,TB,J.Winston,00-0031503,16,1,17,1994-01-06,2015.0,TB
2015,TEN,M.Mariota,00-0032268,12,1,15,1993-10-30,2015.0,TEN
2015,WAS,K.Cousins,00-0029604,16,1,17,1988-08-19,2012.0,WAS
