season,posteam,qb_id,qb_name,plays,games,called_pass_rate,expected_pass_rate,proe
2018,ARI,00-0034343,J.Rosen,264,13,0.4772727272727273,0.53673133474182,-5.945860746909272
2018,ATL,00-0026143,M.Ryan,361,16,0.5872576177285319,0.5448667510642239,4.239086666430793
2018,BAL,00-0026158,J.Flacco,204,9,0.5833333333333334,0.5368049450803036,4.6528388253029656
2018,BUF,00-0034857,J.Allen,218,11,0.463302752293578,0.5267758761113936,-6.3473123817815695
2018,CAR,00-0027939,C.Newton,267,14,0.5580524344569289,0.5323097365960646,2.9488016212924144
2018,CHI,00-0033869,M.Trubisky,353,15,0.5325779036827195,0.5222108326957854,1.0367070986934155
2018,CIN,00-0027973,A.Dalton,210,10,0.6,0.5512425811517806,4.875741884821937
2018,CLE,00-0034855,B.Mayfield,275,14,0.5272727272727272,0.5248821337114681,0.602695719762282
2018,DAL,00-0033077,D.Prescott,441,18,0.4988662131519274,0.531635769100146,-3.2769555948218523
2018,DEN,00-0028986,C.Keenum,357,16,0.5350140056022409,0.5328917700786885,0.49233559717317255
2018,DET,00-0026498,M.Stafford,349,16,0.501432664756447,0.5360110392713957,-3.4578374514948673
2018,GB,00-0023459,A.Rodgers,303,15,0.6237623762376238,0.5264001715891432,9.736220464848056
2018,HOU,00-0033537,D.Watson,345,17,0.5246376811594203,0.5526932316845742,-2.8055550525153894
2018,IND,00-0029668,A.Luck,362,18,0.580110497237569,0.540713562738171,3.939693449939812
2018,JAX,00-0031407,B.Bortles,219,11,0.5068493150684932,0.5478216105536239,-4.097229548513073
2018,KC,00-0033873,P.Mahomes,310,18,0.6483870967741936,0.5367077211699178,11.167937560427573
2018,LA,00-0033106,J.Goff,435,18,0.5471264367816092,0.5346442490816117,1.4781038274710205
2018,LAC,00-0022942,P.Rivers,297,18,0.5353535353535354,0.5438970589276516,-0.5176520207112887
2018,LV,00-0031280,D.Carr,338,16,0.5118343195266272,0.5073453919995113,0.74475074087727
2018,MIA,00-0029701,R.Tannehill,227,11,0.4977973568281938,0.5342835125550299,-3.6486155726836116
2018,MIN,00-0029604,K.Cousins,317,16,0.5678233438485805,0.5435811315049133,2.424221234366721
2018,NE,00-0019596,T.Brady,435,19,0.5747126436781609,0.5311410652837534,4.3571578394407515
2018,NO,00-0020531,D.Brees,407,17,0.5724815724815725,0.5432860539351986,3.1652521003376353
2018,NYG,00-0022803,E.Manning,348,16,0.5316091954022989,0.5398335943705049,-0.535083574981525
2018,NYJ,00-0034869,S.Darnold,266,13,0.45112781954887216,0.5285688544574537,-7.74410349085815
2018,PHI,00-0032950,C.Wentz,255,11,0.6196078431372549,0.5388263440599629,8.078149907729205
2018,PIT,00-0022924,B.Roethlisberger,354,16,0.6412429378531074,0.5293915942732224,11.185134357988497
2018,SEA,00-0029263,R.Wilson,437,17,0.37528604118993136,0.5395800997449822,-16.20057290356001
2018,SF,00-0033319,N.Mullens,166,8,0.5301204819277109,0.5163412668618811,1.3779215065829724
2018,TB,00-0031503,J.Winston,176,9,0.5738636363636364,0.5306255946105177,4.323804175311869
2018,TEN,00-0032268,M.Mariota,265,13,0.4679245283018868,0.5304992297910295,-6.2574701489142655
2018,WAS,00-0023436,A.Smith,141,10,0.48226950354609927,0.5221512051338845,-3.988170158778522
2019,ARI,00-0035228,K.Murray,346,16,0.5664739884393064,0.523424602140581,4.304938629872537
2019,ATL,00-0026143,M.Ryan,302,15,0.5397350993377483,0.5410110086005255,-0.12759092627771643
2019,BAL,00-0034796,L.Jackson,310,16,0.4290322580645161,0.520948271164971,-9.191601310045488
2019,BUF,00-0034857,J.Allen,300,13,0.58,0.5292159695426623,5.411736379067103
2019,BUF,00-0034857,Jos.Allen,57,3,0.49122807017543857,0.5350363531656432,-4.380828299020466
2019,CAR,00-0034577,K.Allen,205,12,0.5219512195121951,0.5163204800791856,1.0508788213497255
2019,CHI,00-0033869,M.Trubisky,334,14,0.5718562874251497,0.5526103231899753,1.9245964235174442
2019,CIN,00-0027973,A.Dalton,255,13,0.5372549019607843,0.517604614239113,1.9650287721671311
2019,CLE,00-0034855,B.Mayfield,294,16,0.5612244897959183,0.5398410424894217,2.1383447306496755
2019,DAL,00-0033077,D.Prescott,375,16,0.5306666666666666,0.5549494012991587,-1.8949401299158732
2019,DEN,00-0026158,J.Flacco,157,8,0.4713375796178344,0.5193529639654099,-4.801538434757549
2019,DET,00-0026498,M.Stafford,226,8,0.5398230088495575,0.549895092053751,-1.0072083204193454
2019,GB,00-0023459,A.Rodgers,343,18,0.5481049562682215,0.5283764797987813,1.9728476469440293
2019,HOU,00-0033537,D.Watson,417,17,0.5347721822541966,0.5395966155065907,-0.0028270182849691925
2019,IND,00-0033119,J.Brissett,331,14,0.43202416918429004,0.5412017041732897,-10.615638695274596
2019,JAX,00-0035289,G.Minshew,104,5,0.5,0.5338848645870502,-3.388486458705022
2019,JAX,00-0035289,G.Minshew II,120,6,0.5166666666666667,0.5162973324457805,0.03693342208862305
2019,KC,00-0033873,P.Mahomes,323,16,0.6873065015479877,0.5458569749497777,14.454550183040809
2019,LA,00-0033106,J.Goff,354,16,0.5819209039548022,0.5343266851821188,5.041907752974558
2019,LAC,00-0022942,P.Rivers,337,16,0.5370919881305638,0.5433212194138536,-0.6229231283289742
2019,LV,00-0031280,D.Carr,345,16,0.4811594202898551,0.5230929089629132,-4.193348867305811
2019,MIA,00-0023682,R.Fitzpatrick,265,13,0.6113207547169811,0.526706137972058,8.461461674492314
