season,week,game_id,posteam,qb_id,qb_name,plays,actual_pass_rate,expected_pass_rate,proe
2020,1,2020_01_ARI_SF,ARI,00-0035228,K.Murray,70,0.6428571428571429,0.6222243783729416,2.063276448420116
2020,1,2020_01_ARI_SF,SF,00-0031345,J.Garoppolo,60,0.6,0.6587478739519914,-5.87478739519914
2020,1,2020_01_CHI_DET,CHI,00-0033869,M.Trubisky,62,0.5967741935483871,0.6417353528161203,-4.496115926773317
2020,1,2020_01_CHI_DET,DET,00-0026498,M.Stafford,71,0.647887323943662,0.6601929610044184,-1.2305637060756414
2020,1,2020_01_CLE_BAL,BAL,00-0034796,L.Jackson,56,0.5178571428571429,0.5871069806494883,-6.9249837792345454
2020,1,2020_01_CLE_BAL,CLE,00-0034855,B.Mayfield,65,0.6153846153846154,0.65856854227873,-4.318392689411457
2020,1,2020_01_DAL_LA,DAL,00-0033077,D.Prescott,68,0.6470588235294118,0.684190486502998,-3.713166297358625
2020,1,2020_01_DAL_LA,LA,00-0033106,J.Goff,69,0.4782608695652174,0.5878959185835244,-10.963504901830701
2020,1,2020_01_GB_MIN,GB,00-0023459,A.Rodgers,73,0.589041095890411,0.5086340652140853,8.04070306763257
2020,1,2020_01_GB_MIN,MIN,00-0029604,K.Cousins,46,0.6304347826086957,0.6942647932016331,-6.383001059293747
2020,1,2020_01_HOU_KC,HOU,00-0033537,D.Watson,57,0.7017543859649122,0.684861703922874,1.6892682042038232
2020,1,2020_01_HOU_KC,KC,00-0033873,P.Mahomes,66,0.48484848484848486,0.4932280528838887,-0.8379568035403887
2020,1,2020_01_IND_JAX,IND,00-0022942,P.Rivers,66,0.696969696969697,0.6641216234050014,3.284807356469559
2020,1,2020_01_IND_JAX,JAX,00-0035289,G.Minshew,46,0.6086956521739131,0.6132478127660959,-0.4552160592182823
2020,1,2020_01_LAC_CIN,CIN,00-0036442,J.Burrow,66,0.6363636363636364,0.6830902375055082,-4.672660114187183
2020,1,2020_01_LAC_CIN,LAC,00-0028118,T.Taylor,70,0.4857142857142857,0.6354533678718975,-14.973908215761185
2020,1,2020_01_LV_CAR,CAR,00-0031237,T.Bridgewater,64,0.59375,0.6757393898442388,-8.198938984423876
2020,1,2020_01_LV_CAR,LV,00-0031280,D.Carr,60,0.48333333333333334,0.531134397101899,-4.7801063768565655
2020,1,2020_01_MIA_NE,MIA,00-0023682,R.Fitzpatrick,56,0.6071428571428571,0.6879387104085514,-8.07958532656942
2020,1,2020_01_MIA_NE,NE,00-0027939,C.Newton,60,0.36666666666666664,0.54871427398175,-18.204760731508333
2020,1,2020_01_NYJ_BUF,BUF,00-0034857,J.Allen,77,0.6493506493506493,0.543567848282975,10.578280106767432
2020,1,2020_01_NYJ_BUF,NYJ,00-0034869,S.Darnold,51,0.7254901960784313,0.7388130432250453,-1.3322847146613925
2020,1,2020_01_PHI_WAS,PHI,00-0032950,C.Wentz,65,0.7538461538461538,0.6507588322346027,10.308732161155113
2020,1,2020_01_PHI_WAS,WAS,00-0035232,D.Haskins,66,0.5303030303030303,0.5671995500610634,-3.689651975803303
2020,1,2020_01_PIT_NYG,NYG,00-0035710,D.Jones,63,0.746031746031746,0.6760217670410399,7.000997899070619
2020,1,2020_01_PIT_NYG,PIT,00-0022924,B.Roethlisberger,63,0.5555555555555556,0.6289391364488337,-7.338358089327812
2020,1,2020_01_SEA_ATL,ATL,00-0026143,M.Ryan,76,0.7236842105263158,0.7662842952107128,-4.260008468439705
2020,1,2020_01_SEA_ATL,SEA,00-0029263,R.Wilson,57,0.6842105263157895,0.5279173073277139,15.629321898807559
2020,1,2020_01_TB_NO,NO,00-0020531,D.Brees,59,0.5423728813559322,0.5954463290587321,-5.307344770279982
2020,1,2020_01_TB_NO,TB,00-0019596,T.Brady,61,0.6065573770491803,0.6557293424352271,-4.917196538604673
2020,1,2020_01_TEN_DEN,DEN,00-0035704,D.Lock,58,0.5862068965517241,0.555868429870441,3.0338466681283096
2020,1,2020_01_TEN_DEN,TEN,00-0029701,R.Tannehill,78,0.5769230769230769,0.6037979802260032,-2.6874903302926283
2020,2,2020_02_ATL_DAL,ATL,00-0026143,M.Ryan,68,0.5735294117647058,0.5827514084384722,-0.9221996673766304
2020,2,2020_02_ATL_DAL,DAL,00-0033077,D.Prescott,71,0.6338028169014085,0.7084778484324334,-7.4675031531024985
2020,2,2020_02_BAL_HOU,BAL,00-0034796,L.Jackson,61,0.5081967213114754,0.5358759390007033,-2.767921768922786
2020,2,2020_02_BAL_HOU,HOU,00-0033537,D.Watson,56,0.7857142857142857,0.7042728432321123,8.144144248217344
2020,2,2020_02_BUF_MIA,BUF,00-0034857,J.Allen,56,0.6607142857142857,0.5646277405321598,9.60865451821259
2020,2,2020_02_BUF_MIA,MIA,00-0023682,R.Fitzpatrick,70,0.7142857142857143,0.6336011729070119,8.068454137870244
2020,2,2020_02_CAR_TB,CAR,00-0031237,T.Bridgewater,71,0.6619718309859155,0.7028849807003854,-4.091314971446991
2020,2,2020_02_CAR_TB,TB,00-0019596,T.Brady,55,0.6,0.5749845644289797,2.50154355710203
2020,2,2020_02_CIN_CLE,CIN,00-0036442,J.Burrow,85,0.7764705882352941,0.7234076114261851,5.3062976809108955
2020,2,2020_02_CIN_CLE,CLE,00-0034855,B.Mayfield,53,0.41509433962264153,0.5345542222823737,-11.945988265973217
2020,2,2020_02_DEN_PIT,DEN,00-0035704,D.Lock,13,0.46153846153846156,0.5551088291865128,-9.357036764805134
2020,2,2020_02_DEN_PIT,PIT,00-0022924,B.Roethlisberger,60,0.6833333333333333,0.5572482603912552,12.608507294207811
2020,2,2020_02_DET_GB,DET,00-0026498,M.Stafford,56,0.6428571428571429,0.553175639095051,8.968150376209191
2020,2,2020_02_DET_GB,GB,00-0023459,A.Rodgers,63,0.5079365079365079,0.5972243650328546,-8.92878570963466
2020,2,2020_02_JAX_TEN,JAX,00-0035289,G.Minshew,74,0.6756756756756757,0.6597425410070935,1.5933134668582194
2020,2,2020_02_JAX_TEN,TEN,00-0029701,R.Tannehill,56,0.48214285714285715,0.6161394172481128,-13.399656010525566
2020,2,2020_02_KC_LAC,KC,00-0033873,P.Mahomes,69,0.782608695652174,0.7112733674222145,7.133532822995946
2020,2,2020_02_KC_LAC,LAC,00-0036355,J.Herbert,78,0.47435897435897434,0.5471420952906976,-7.2783120931723175
2020,2,2020_02_LA_PHI,LA,00-0033106,J.Goff,63,0.4603174603174603,0.47615558594938306,-1.5838125631922768
2020,2,2020_02_LA_PHI,PHI,00-0032950,C.Wentz,69,0.6376811594202898,0.6525701347036638,-1.4888975283373957
2020,2,2020_02_MIN_IND,IND,00-0022942,P.Rivers,64,0.421875,0.5235922294086777,-10.171722940867767
