season,week,game_id,posteam,qb_id,qb_name,plays,actual_pass_rate,expected_pass_rate,proe
2014,1,2014_01_BUF_CHI,CHI,00-0024226,J.Cutler,65,0.7384615384615385,0.6009191788159884,13.754235964555006
2014,1,2014_01_CAR_TB,TB,00-0021206,J.McCown,54,0.7222222222222222,0.7383709505752281,-1.6148728353005868
2014,1,2014_01_CIN_BAL,BAL,00-0026158,J.Flacco,84,0.7857142857142857,0.7132283133410272,7.24859723732585
2014,1,2014_01_CIN_BAL,CIN,00-0027973,A.Dalton,61,0.6229508196721312,0.5918886707942994,3.1062148877831754
2014,1,2014_01_CLE_PIT,CLE,00-0026625,B.Hoyer,63,0.5079365079365079,0.5989312288307008,-9.099472089419288
2014,1,2014_01_CLE_PIT,PIT,00-0022924,B.Roethlisberger,62,0.5967741935483871,0.6196972424945524,-2.2923048946165268
2014,1,2014_01_GB_SEA,GB,00-0023459,A.Rodgers,56,0.625,0.6972618693751949,-7.226186937519482
2014,1,2014_01_GB_SEA,SEA,00-0029263,R.Wilson,61,0.5081967213114754,0.4898775228467144,1.8319198464761015
2014,1,2014_01_IND_DEN,DEN,00-0010346,P.Manning,66,0.5757575757575758,0.5319593590543126,4.3798216703263195
2014,1,2014_01_IND_DEN,IND,00-0029668,A.Luck,70,0.8571428571428571,0.7369016093867166,12.024124775614057
2014,1,2014_01_MIN_STL,LA,00-0028957,A.Davis,37,0.7297297297297297,0.7970354613420125,-6.730573161228283
2014,1,2014_01_NE_MIA,MIA,00-0029701,R.Tannehill,68,0.47058823529411764,0.4976136171642472,-2.702538187012953
2014,1,2014_01_NE_MIA,NE,00-0019596,T.Brady,80,0.75,0.7043844489380717,4.561555106192827
2014,1,2014_01_NO_ATL,ATL,00-0026143,M.Ryan,68,0.6764705882352942,0.6349690775660908,4.150151066920337
2014,1,2014_01_NO_ATL,NO,00-0020531,D.Brees,70,0.6142857142857143,0.6431868629796165,-2.890114869390215
2014,1,2014_01_NYG_DET,DET,00-0026498,M.Stafford,60,0.5666666666666667,0.5781233249232173,-1.145665825655063
2014,1,2014_01_NYG_DET,NYG,00-0022803,E.Manning,57,0.6140350877192983,0.6586514959732691,-4.46164082539709
2014,1,2014_01_OAK_NYJ,LV,00-0031280,D.Carr,48,0.7083333333333334,0.6823047616829475,2.6028571650385857
2014,1,2014_01_OAK_NYJ,NYJ,00-0030565,G.Smith,61,0.5409836065573771,0.5891465959978885,-4.816298944051148
2014,1,2014_01_SD_ARI,LAC,00-0022942,P.Rivers,60,0.6166666666666667,0.6371011517941951,-2.043448512752851
2014,1,2014_01_SF_DAL,DAL,00-0021678,T.Romo,62,0.6451612903225806,0.658009527912063,-1.2848237589482339
2014,1,2014_01_SF_DAL,SF,00-0027974,C.Kaepernick,50,0.48,0.5428217539563776,-6.282175395637751
2014,1,2014_01_TEN_KC,KC,00-0023436,A.Smith,55,0.7818181818181819,0.7195703335783699,6.2247848239811985
2014,1,2014_01_WAS_HOU,HOU,00-0023682,R.Fitzpatrick,54,0.42592592592592593,0.502710317502971,-7.678439157704513
2014,1,2014_01_WAS_HOU,WAS,00-0029665,R.Griffin,61,0.6557377049180327,0.6535038356898261,0.22338692282066971
2014,2,2014_02_ARI_NYG,ARI,00-0025430,D.Stanton,59,0.559322033898305,0.5381766090453681,2.1145424852936956
2014,2,2014_02_ARI_NYG,NYG,00-0022803,E.Manning,66,0.6212121212121212,0.6849235497189291,-6.371142850680784
2014,2,2014_02_ATL_CIN,ATL,00-0026143,M.Ryan,63,0.746031746031746,0.7346205484299433,1.1411197601802765
2014,2,2014_02_ATL_CIN,CIN,00-0027973,A.Dalton,66,0.36363636363636365,0.5425148662744146,-17.8878502638051
2014,2,2014_02_CHI_SF,CHI,00-0024226,J.Cutler,50,0.74,0.6275171411037445,11.24828588962555
2014,2,2014_02_CHI_SF,SF,00-0027974,C.Kaepernick,63,0.6507936507936508,0.6374852084924304,1.3308442301220365
2014,2,2014_02_DAL_TEN,DAL,00-0021678,T.Romo,75,0.4266666666666667,0.4984925718853871,-7.182590521872044
2014,2,2014_02_DET_CAR,CAR,00-0027939,C.Newton,59,0.6779661016949152,0.5689007542648558,10.906534743005947
2014,2,2014_02_DET_CAR,DET,00-0026498,M.Stafford,70,0.7571428571428571,0.701546488063676,5.5596369079181125
2014,2,2014_02_HOU_OAK,HOU,00-0023682,R.Fitzpatrick,65,0.2923076923076923,0.5017594342048352,-20.945174189714287
2014,2,2014_02_HOU_OAK,LV,00-0031280,D.Carr,59,0.7457627118644068,0.7282296858601651,1.7533026004241685
2014,2,2014_02_KC_DEN,DEN,00-0010346,P.Manning,45,0.6,0.5749328020546172,2.506719794538286
2014,2,2014_02_KC_DEN,KC,00-0023436,A.Smith,74,0.6351351351351351,0.6738326195124034,-3.8697484377268196
2014,2,2014_02_MIA_BUF,MIA,00-0029701,R.Tannehill,74,0.7432432432432432,0.7193607003302187,2.388254291302449
2014,2,2014_02_NE_MIN,NE,00-0019596,T.Brady,58,0.3793103448275862,0.5174902764887646,-13.817993166117832
2014,2,2014_02_NO_CLE,CLE,00-0026625,B.Hoyer,71,0.5774647887323944,0.6077557386646808,-3.0290949932286435
2014,2,2014_02_NO_CLE,NO,00-0020531,D.Brees,68,0.6176470588235294,0.604726576629807,1.2920482193722445
2014,2,2014_02_NYJ_GB,GB,00-0023459,A.Rodgers,64,0.734375,0.6384827886940911,9.589221130590886
2014,2,2014_02_NYJ_GB,NYJ,00-0030565,G.Smith,68,0.5441176470588235,0.6146264431231162,-7.050879606429269
2014,2,2014_02_PHI_IND,IND,00-0029668,A.Luck,70,0.5142857142857142,0.5512368791869708,-3.695116490125656
2014,2,2014_02_PIT_BAL,BAL,00-0026158,J.Flacco,60,0.43333333333333335,0.49303718532125157,-5.9703851987918215
2014,2,2014_02_PIT_BAL,PIT,00-0022924,B.Roethlisberger,56,0.6964285714285714,0.6945443999554429,0.1884171473128455
2014,2,2014_02_SEA_SD,LAC,00-0022942,P.Rivers,74,0.5675675675675675,0.5618180811807916,0.574948638677597
2014,2,2014_02_SEA_SD,SEA,00-0029263,R.Wilson,38,0.7105263157894737,0.7088102494415484,0.17160663479252866
2014,2,2014_02_STL_TB,LA,00-0028957,A.Davis,61,0.5245901639344263,0.5690840766078136,-4.449391267338737
2014,2,2014_02_STL_TB,TB,00-0021206,J.McCown,51,0.43137254901960786,0.6043655968764249,-17.299304785681706
2014,3,2014_03_BAL_CLE,BAL,00-0026158,J.Flacco,61,0.4918032786885246,0.5844718190978785,-9.26685404093539
2014,3,2014_03_BAL_CLE,CLE,00-0026625,B.Hoyer,53,0.49056603773584906,0.5861104653691346,-9.554442763328552
2014,3,2014_03_CHI_NYJ,CHI,00-0024226,J.Cutler,59,0.7288135593220338,0.5691553084021908,15.965825091984312
2014,3,2014_03_CHI_NYJ,NYJ,00-0030565,G.Smith,68,0.6470588235294118,0.6966180214110542,-4.955919788164251
2014,3,2014_03_DAL_STL,DAL,00-0021678,T.Romo,49,0.4897959183673469,0.6526803976419021,-16.28844792745551
2014,3,2014_03_DAL_STL,LA,00-0028957,A.Davis,71,0.6056338028169014,0.6589916994873907,-5.335789667048925
2014,3,2014_03_DEN_SEA,DEN,00-0010346,P.Manning,68,0.7205882352941176,0.6866907836759791,3.389745161813848
2014,3,2014_03_DEN_SEA,SEA,00-0029263,R.Wilson,68,0.6323529411764706,0.5656557063955594,6.669723478091114
2014,3,2014_03_GB_DET,DET,00-0026498,M.Stafford,69,0.5362318840579711,0.5418151651063691,-0.5583281048398087
2014,3,2014_03_GB_DET,GB,00-0023459,A.Rodgers,50,0.58,0.6095259529352188,-2.952595293521881
2014,3,2014_03_HOU_NYG,HOU,00-0023682,R.Fitzpatrick,58,0.7241379310344828,0.7094504928280567,1.468743820642603
2014,3,2014_03_HOU_NYG,NYG,00-0022803,E.Manning,69,0.4057971014492754,0.4701798827643844,-6.4382781315109
2014,3,2014_03_IND_JAX,IND,00-0029668,A.Luck,69,0.6376811594202898,0.5573402304148328,8.034092900545701
2014,3,2014_03_IND_JAX,JAX,00-0031407,B.Bortles,38,0.6578947368421053,0.7494784279873496,-9.15836911452444
2014,3,2014_03_KC_MIA,KC,00-0023436,A.Smith,70,0.42857142857142855,0.4786590979833688,-5.008766941194024
2014,3,2014_03_KC_MIA,MIA,00-0029701,R.Tannehill,66,0.696969696969697,0.7159388521403978,-1.8969155170700767
2014,3,2014_03_MIN_NO,MIN,00-0031237,T.Bridgewater,35,0.6857142857142857,0.6948363746915545,-0.9122088977268764
2014,3,2014_03_MIN_NO,NO,00-0020531,D.Brees,66,0.5454545454545454,0.552511285623592,-0.7056740169046503
2014,3,2014_03_OAK_NE,LV,00-0031280,D.Carr,56,0.625,0.6407778614333698,-1.5777861433369773
2014,3,2014_03_OAK_NE,NE,00-0019596,T.Brady,68,0.5735294117647058,0.5942432792747722,-2.0713867510066315
2014,3,2014_03_PIT_CAR,CAR,00-0027939,C.Newton,49,0.8367346938775511,0.6769613492853788,15.977334459217227
2014,3,2014_03_PIT_CAR,PIT,00-0022924,B.Roethlisberger,60,0.48333333333333334,0.5289804767196377,-4.564714338630438
2014,3,2014_03_SD_BUF,LAC,00-0022942,P.Rivers,61,0.45901639344262296,0.5571872908316675,-9.817089738904453
2014,3,2014_03_SF_ARI,ARI,00-0025430,D.Stanton,52,0.6153846153846154,0.5801551015331194,3.522951385149589
2014,3,2014_03_SF_ARI,SF,00-0027974,C.Kaepernick,61,0.7213114754098361,0.6184533673231719,10.285810808666417
2014,3,2014_03_TB_ATL,ATL,00-0026143,M.Ryan,50,0.54,0.5302909106016159,0.9709089398384094
2014,3,2014_03_TEN_CIN,CIN,00-0027973,A.Dalton,49,0.46938775510204084,0.4889868473520084,-1.9599092249967613
2014,4,2014_04_ATL_MIN,ATL,00-0026143,M.Ryan,61,0.6721311475409836,0.674568455727374,-0.2437308186390361
2014,4,2014_04_ATL_MIN,MIN,00-0031237,T.Bridgewater,73,0.4520547945205479,0.5240027838169712,-7.1947989296423245
2014,4,2014_04_BUF_HOU,HOU,00-0023682,R.Fitzpatrick,59,0.6779661016949152,0.6166309221821317,6.133517951278363
2014,4,2014_04_CAR_BAL,BAL,00-0026158,J.Flacco,60,0.5,0.5347314797341823,-3.473147973418236
