season,posteam,qb_id,qb_name,plays,games,called_pass_rate,expected_pass_rate,proe
2018,ARI,00-0034343,J.Rosen,716,13,0.6103351955307262,0.6681557904471066,-5.642394687168758
2018,ATL,00-0026143,M.Ryan,975,16,0.6728205128205128,0.6315924441126677,4.122806870784515
2018,BAL,00-0026158,J.Flacco,591,9,0.6700507614213198,0.6346674438963081,3.5383317525011635
2018,BUF,00-0034857,J.Allen,617,11,0.580226904376013,0.6196789720051921,-3.7831322086229315
2018,CAR,00-0027939,C.Newton,820,14,0.6268292682926829,0.6183096151072077,0.9739165380597115
2018,CHI,00-0033869,M.Trubisky,912,15,0.5833333333333334,0.5760337417116062,0.9492574077867494
2018,CIN,00-0027973,A.Dalton,552,10,0.677536231884058,0.6337068315284947,4.382940035556322
2018,CLE,00-0034855,B.Mayfield,815,14,0.6368098159509202,0.6270265053066374,1.2237298374344234
2018,DAL,00-0033077,D.Prescott,1115,18,0.6017937219730942,0.6232977016357029,-2.060711867606159
2018,DEN,00-0028986,C.Keenum,976,16,0.6311475409836066,0.6558531952685998,-2.368106412105873
2018,DET,00-0026498,M.Stafford,979,16,0.6108273748723186,0.6401355190238743,-2.4200891853292092
2018,GB,00-0023459,A.Rodgers,940,15,0.7042553191489361,0.6379285141627522,7.164595392235416
2018,HOU,00-0033537,D.Watson,1083,17,0.6177285318559557,0.6228163244025584,-0.23177094441096427
2018,IND,00-0029668,A.Luck,1136,18,0.6522887323943662,0.6222639415072093,3.0905072577297688
2018,JAX,00-0031407,B.Bortles,687,11,0.6390101892285298,0.6378049840106801,0.12052052178497398
2018,KC,00-0033873,P.Mahomes,1061,18,0.6503298774740811,0.5685705823400721,8.364430927161504
2018,LA,00-0033106,J.Goff,1203,19,0.5951787198669992,0.5927840610060311,0.3225914056313008
2018,LAC,00-0022942,P.Rivers,1023,18,0.6089931573802542,0.6056017264985968,0.5346465094756054
2018,LV,00-0031280,D.Carr,963,16,0.6230529595015576,0.6287007744570078,-0.46093933562809064
2018,MIA,00-0029701,R.Tannehill,529,11,0.5860113421550095,0.6248171028165262,-3.5025042325032905
2018,MIN,00-0029604,K.Cousins,980,16,0.6673469387755102,0.6423069489834716,2.503998979203859
2018,NE,00-0019596,T.Brady,1254,19,0.5685805422647527,0.5743203604270064,-0.4144921830515162
2018,NO,00-0020531,D.Brees,1020,17,0.5715686274509804,0.5710487643475918,0.15002552602513164
2018,NYG,00-0022803,E.Manning,952,16,0.6544117647058824,0.6643255961620632,-0.8863411288113654
2018,NYJ,00-0034869,S.Darnold,756,13,0.5952380952380952,0.6457644017984864,-5.052630656039115
2018,PHI,00-0032950,C.Wentz,669,11,0.6547085201793722,0.6147033972456851,4.000512293368711
2018,PIT,00-0022924,B.Roethlisberger,993,16,0.6998992950654582,0.6094044853275696,9.150185908330652
2018,SEA,00-0029263,R.Wilson,1019,17,0.49950932286555444,0.6252591071853284,-12.378707578199183
2018,SF,00-0033319,N.Mullens,464,8,0.6077586206896551,0.6374728836376091,-2.971426294795398
2018,TB,00-0031503,J.Winston,598,10,0.6839464882943144,0.6435871654405043,4.035932285381001
2018,TEN,00-0032268,M.Mariota,679,13,0.5655375552282769,0.6276232619277463,-6.061295264939584
2018,WAS,00-0023436,A.Smith,597,10,0.6013400335008375,0.620623524296074,-1.9283490795236535
2019,ARI,00-0035228,K.Murray,938,16,0.6449893390191898,0.6425429513411862,0.24463876780035146
2019,ATL,00-0026143,M.Ryan,975,15,0.6861538461538461,0.660900393250661,2.5253452903185134
2019,BAL,00-0034796,L.Jackson,988,16,0.5273279352226721,0.5987737225500588,-7.043364157839886
2019,BUF,00-0034857,J.Allen,791,13,0.5891276864728192,0.6063918851353652,-1.2207308649903754
2019,BUF,00-0034857,Jos.Allen,186,3,0.5483870967741935,0.5858952127176748,-3.21317718574597
2019,CAR,00-0034577,K.Allen,833,13,0.6530612244897959,0.6434109641098175,1.0850740572055275
2019,CHI,00-0033869,M.Trubisky,872,14,0.6444954128440367,0.6401193756182942,0.5522826216568094
2019,CIN,00-0027973,A.Dalton,834,13,0.6642685851318945,0.6650210816850908,-0.07524965531963239
2019,CLE,00-0034855,B.Mayfield,948,16,0.6128691983122363,0.6257931869496681,-1.081428399608168
2019,DAL,00-0033077,D.Prescott,1035,16,0.6009661835748792,0.628171166424878,-2.430643212536107
2019,DEN,00-0026158,J.Flacco,482,8,0.5933609958506224,0.6367592343836405,-4.339823853301804
2019,DET,00-0026498,M.Stafford,503,8,0.6282306163021869,0.630262617740195,-0.004392986743161029
2019,GB,00-0023459,A.Rodgers,1083,18,0.6361957525392429,0.6059932882690309,3.112582530437634
2019,HOU,00-0033537,D.Watson,1062,17,0.628060263653484,0.6185812114680049,1.1362291356853846
2019,IND,00-0033119,J.Brissett,849,14,0.5700824499411072,0.6263387894040704,-5.507848316143202
2019,JAX,00-0035289,G.Minshew,350,6,0.6285714285714286,0.6657596407830715,-3.1473926497357234
2019,JAX,00-0035289,G.Minshew II,461,8,0.6941431670281996,0.6632682086895836,3.087495833861595
2019,KC,00-0033873,P.Mahomes,956,16,0.6610878661087866,0.5778055756497021,9.165049129590454
2019,LA,00-0033106,J.Goff,1018,16,0.6365422396856582,0.6168990737716493,2.0625484185128644
2019,LAC,00-0022942,P.Rivers,955,16,0.6450261780104712,0.6550392694342199,-1.0013091423748675
2019,LV,00-0031280,D.Carr,953,16,0.5739769150052466,0.6127354381537575,-3.665988726183725
2019,MIA,00-0023682,R.Fitzpatrick,781,13,0.7016645326504481,0.6363047297981957,6.535980285225238
2019,MIN,00-0029604,K.Cousins,998,17,0.5340681362725451,0.6108339656898397,-7.5763825409278605
2019,NE,00-0019596,T.Brady,1112,17,0.6052158273381295,0.6050732943242778,0.19410941649308736
2019,NO,00-0020531,D.Brees,647,11,0.6398763523956723,0.6003347615145688,3.9541590881103525
2019,NYG,00-0035710,D.Jones,749,12,0.6822429906542056,0.6722733254764522,1.2639892147045746
2019,NYJ,00-0034869,S.Darnold,770,13,0.6155844155844156,0.6257156683446525,-0.8832551461535615
2019,PHI,00-0032950,C.Wentz,1070,16,0.6186915887850467,0.6246153744999493,-0.5923785714902611
2019,PIT,00-0034771,M.Rudolph,474,10,0.6392405063291139,0.6408090951777837,-0.15685888486698207
2019,SEA,00-0029263,R.Wilson,1128,18,0.600177304964539,0.6159952080986918,-1.3158328666067716
2019,SF,00-0031345,J.Garoppolo,1136,19,0.5070422535211268,0.5799811446865444,-7.293889116541758
2019,TB,00-0031503,J.Winston,1040,16,0.6625,0.6381742715728111,2.43257284271889
2019,TEN,00-0029701,R.Tannehill,728,14,0.5343406593406593,0.6163310367578211,-8.061675104353537
2019,WAS,00-0028986,C.Keenum,393,8,0.6361323155216285,0.6620651316703428,-2.3388286886627743
2020,ARI,00-0035228,K.Murray,1002,15,0.6027944111776448,0.6130071118615286,-0.7218688707835897
2020,ATL,00-0026143,M.Ryan,1048,16,0.6402671755725191,0.6338708876198484,0.6396287952670614
