team,qb_name,first_start_season,age_at_first_start,era
CLE,B.Hoyer,2014,29.00479123887748,2010s
CLE,B.Mayfield,2018,23.50444900752909,2010s
CLE,B.Quinn,2009,24.966461327857633,2000s
CLE,B.Weeden,2012,29.00479123887748,2010s
CLE,C.Frye,2006,25.130732375085557,2000s
CLE,C.McCoy,2010,24.109514031485283,2010s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Anderson,2007,24.334017796030118,2000s
CLE,D.Kizer,2017,21.782340862423,2010s
CLE,D.Watson,2023,28.084873374401095,2020s
CLE,D.Watson,2023,28.084873374401095,2020s
CLE,J.Brissett,2022,29.842573579739906,2020s
CLE,J.Garcia,2004,34.639288158795345,2000s
CLE,J.Manziel,2015,22.855578370978783,2010s
CLE,J.Winston,2024,30.77344284736482,2020s
CLE,K. Holcomb,2003,30.26694045174538,2000s
CLE,R.Griffin,2016,26.67214236824093,2010s
CLE,R.Griffin,2016,26.67214236824093,2010s
CLE,R.Griffin,2016,26.67214236824093,2010s
CLE,T.Couch,2000,23.208761122518823,2000s
CLE,T.Dilfer,2005,33.59069130732375,2000s
DAL,A.Dalton,2020,32.9637234770705,2020s
DAL,C.Hutchinson,2002,25.645448323066393,2000s
DAL,D.Bledsoe,2005,33.667351129363446,2000s
DAL,D.Prescott,2016,23.21423682409309,2010s
DAL,J.Kitna,2010,38.064339493497606,2010s
DAL,M.Cassel,2015,33.412731006160165,2010s
DAL,Q.Carter,2001,24.005475701574266,2000s
DAL,T.Aikman,2000,33.90006844626968,2000s
DAL,T.Romo,2006,26.483230663928815,2000s
DAL,V.Testaverde,2004,40.92265571526352,2000s
DEN,B.Griese,2000,25.579739904175224,2000s
DEN,B.Nix,2024,24.637919233401778,2020s
DEN,C.Keenum,2018,30.65845311430527,2010s
DEN,D.Lock,2020,23.928815879534564,2020s
DEN,J.Cutler,2007,24.462696783025326,2000s
DEN,J.Flacco,2019,34.743326488706366,2010s
DEN,J.Plummer,2003,28.82135523613963,2000s
DEN,K.Orton,2009,26.91854893908282,2000s
DEN,P.Manning,2012,36.56125941136208,2010s
DEN,R.Wilson,2022,33.87542778918549,2020s
DEN,R.Wilson,2022,33.87542778918549,2020s
DEN,R.Wilson,2022,33.87542778918549,2020s
DEN,T.Bridgewater,2021,28.928131416837783,2020s
DEN,T.Siemian,2016,24.804928131416837,2010s
DEN,T.Tebow,2011,24.16974674880219,2010s
DET,C.Batch,2000,25.861738535249827,2000s
DET,D.Orlovsky,2008,25.16084873374401,2000s
DET,J.Goff,2021,27.003422313483917,2020s
DET,J.Harrington,2002,23.983572895277206,2000s
DET,J.Kitna,2006,34.064339493497606,2000s
DET,M.Stafford,2009,21.686516084873375,2000s
DET,Sh.Hill,2010,30.765229295003422,2010s
GB,A.Rodgers,2008,24.870636550308006,2000s
GB,A.Rodgers,2008,24.870636550308006,2000s
GB,Aa.Rodgers,2021,37.869952087611225,2020s
GB,B.Favre,2000,31.014373716632445,2000s
GB,B.Hundley,2017,24.334017796030118,2010s
GB,J.Love,2023,24.95003422313484,2020s
GB,J.Love,2023,24.95003422313484,2020s
HOU,B.Hoyer,2015,30.0041067761807,2010s
HOU,B.Osweiler,2016,25.897330595482547,2010s
HOU,C.Stroud,2023,22.031485284052017,2020s
HOU,D.Carr,2002,23.236139630390145,2000s
HOU,D.Mills,2021,22.98425735797399,2020s
HOU,D.Watson,2017,22.086242299794662,2010s
HOU,D.Watson,2017,22.086242299794662,2010s
HOU,M.Schaub,2007,26.305270362765228,2000s
HOU,R.Fitzpatrick,2014,31.890485968514717,2010s
IND,A.Luck,2012,23.091033538672143,2010s
IND,A.Richardson,2024,22.401095140314855,2020s
IND,A.Richardson,2024,22.401095140314855,2020s
IND,C.Painter,2011,26.308008213552363,2010s
IND,C.Wentz,2021,28.791238877481177,2020s
IND,G.Minshew,2023,27.41409993155373,2020s
IND,J.Brissett,2017,24.843258042436688,2010s
IND,M.Hasselbeck,2015,40.054757015742645,2010s
IND,M.Ryan,2022,37.412731006160165,2020s
IND,P.Manning,2000,24.56125941136208,2000s
IND,P.Rivers,2020,38.85284052019165,2020s
JAX,B.Bortles,2014,22.46406570841889,2010s
JAX,B.Gabbert,2011,21.998631074606433,2010s
JAX,B.Leftwich,2003,23.750855578370977,2000s
JAX,C.Henne,2013,28.28747433264887,2010s
JAX,D.Garrard,2006,28.6652977412731,2000s
JAX,G.Minshew II,2019,23.41409993155373,2010s
JAX,M. Brunell,2002,32.0766598220397,2000s
JAX,M.Brunell,2000,30.078028747433265,2000s
JAX,T.Lawrence,2021,22.026009582477755,2020s
KC,A.Smith,2013,29.440109514031484,2010s
KC,A.Smith,2013,29.440109514031484,2010s
KC,A.Smith,2013,29.440109514031484,2010s
KC,A.Smith,2013,29.440109514031484,2010s
KC,A.Smith,2013,29.440109514031484,2010s
KC,A.Smith,2013,29.440109514031484,2010s
KC,D.Huard,2006,33.267624914442166,2000s
KC,E.Grbac,2000,30.17385352498289,2000s
KC,M.Cassel,2009,27.41409993155373,2000s
KC,P.Mahomes,2018,23.077344284736483,2010s
KC,T. Green,2001,31.26899383983573,2000s
KC,T.Green,2004,34.26967830253251,2000s
KC,T.Thigpen,2008,24.503764544832308,2000s
LAC,D. Brees,2003,24.747433264887064,2000s
LAC,D.Brees,2002,23.748117727583846,2000s
LAC,D.Flutie,2001,38.978781656399725,2000s
LAC,J.Herbert,2020,22.600958247775495,2020s
LAC,P.Rivers,2006,24.851471594798085,2000s
LAC,R.Leaf,2000,24.418891170431213,2000s
LAR,A.Davis,2014,15.791923340177961,2010s
LAR,A.Davis,2014,18.012320328542096,2010s
LAR,A.Davis,2014,25.36892539356605,2010s
LAR,A.Davis,2014,19.63586584531143,2010s
LAR,C.Keenum,2016,28.659822039698838,2010s
LAR,J.Goff,2017,23.003422313483917,2010s
LAR,K.Clemens,2013,30.360027378507873,2010s
LAR,K.Warner,2000,,2000s
LAR,M. Bulger,2002,,2000s
LAR,M.Bulger,2003,,2000s
LAR,M.Stafford,2021,33.686516084873375,2020s
LAR,N.Foles,2015,26.732375085557837,2010s
LAR,S.Bradford,2010,22.934976043805612,2010s
LV,A.O'Connell,2023,25.11978097193703,2020s
LV,A.Walter,2006,24.42984257357974,2000s
LV,C.Palmer,2011,31.800136892539356,2010s
LV,D.Carr,2014,23.550992470910334,2010s
LV,G.Minshew,2024,28.416153319644078,2020s
LV,J.Campbell,2010,28.788501026694046,2010s
LV,J.Campbell,2010,28.788501026694046,2010s
LV,J.McCown,2007,28.281998631074607,2000s
LV,J.Russell,2008,23.184120465434635,2000s
LV,J.Russell,2008,23.184120465434635,2000s
LV,K.Collins,2004,31.79192334017796,2000s
LV,R. Gannon,2001,35.81930184804928,2000s
LV,R.Gannon,2000,34.81998631074607,2000s
LV,T.Pryor,2013,24.320328542094455,2010s
MIA,A.Feeley,2004,27.416837782340863,2000s
MIA,C.Henne,2009,24.28747433264887,2000s
MIA,C.Lemon,2007,28.164271047227928,2000s
MIA,C.Pennington,2008,32.303901437371664,2000s
MIA,G.Frerotte,2005,34.209445585215605,2000s
MIA,J. Fiedler,2002,30.795345653661876,2000s
MIA,J.Cutler,2017,34.46406570841889,2010s
MIA,J.Fiedler,2000,28.79671457905544,2000s
MIA,J.Harrington,2006,27.983572895277206,2000s
MIA,M.Moore,2011,27.1813826146475,2010s
MIA,M.Moore,2011,27.1813826146475,2010s
MIA,R.Fitzpatrick,2019,36.889801505817935,2010s
MIA,R.Tannehill,2012,24.21902806297057,2010s
MIA,T.Tagovailoa,2020,22.622861054072555,2020s
MIN,B.Favre,2009,40.01368925393566,2000s
MIN,B.Johnson,2005,37.086926762491444,2000s
MIN,B.Johnson,2005,37.086926762491444,2000s
MIN,B.Johnson,2005,37.086926762491444,2000s
MIN,B.Johnson,2005,37.086926762491444,2000s
MIN,B.Johnson,2005,37.086926762491444,2000s
MIN,C.Keenum,2017,29.659137577002053,2010s
MIN,C.Ponder,2011,23.63586584531143,2010s
MIN,D. Culpepper,2003,26.71047227926078,2000s
MIN,D.Culpepper,2000,23.71252566735113,2000s
MIN,G.Frerotte,2008,37.210130047912386,2000s
MIN,K.Cousins,2018,30.154688569472963,2010s
MIN,S.Bradford,2016,28.93634496919918,2010s
MIN,S.Darnold,2024,27.362080766598222,2020s
MIN,T.Bridgewater,2014,21.927446954141,2010s
MIN,T.Jackson,2007,24.484599589322382,2000s
MIN,T.Jackson,2007,24.484599589322382,2000s
MIN,T.Jackson,2007,24.484599589322382,2000s
MIN,T.Jackson,2007,24.484599589322382,2000s
MIN,T.Jackson,2007,24.484599589322382,2000s
NE,C.Newton,2020,31.430527036276523,2020s
NE,D.Bledsoe,2000,28.66803559206023,2000s
NE,D.Maye,2024,22.127310061601644,2020s
NE,M.Cassel,2008,26.414784394250514,2000s
NE,M.Jones,2021,23.110198494182068,2020s
NE,M.Jones,2021,23.110198494182068,2020s
NE,M.Jones,2021,23.110198494182068,2020s
NE,M.Jones,2021,23.110198494182068,2020s
NE,M.Jones,2021,23.110198494182068,2020s
NE,M.Jones,2021,23.110198494182068,2020s
NE,M.Jones,2021,23.110198494182068,2020s
NE,T.Brady,2001,24.199863107460644,2000s
NO,A.Brooks,2001,25.560574948665298,2000s
NO,A.Brooks,2001,25.560574948665298,2000s
NO,A.Dalton,2022,34.96235455167693,2020s
NO,D.Brees,2006,27.748117727583846,2000s
NO,D.Carr,2023,32.550308008213555,2020s
NO,J.Blake,2000,29.864476386036962,2000s
NO,J.Winston,2021,27.772758384668034,2020s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,D.Jones,2019,22.38466803559206,2010s
NYG,E.Manning,2005,24.78028747433265,2000s
NYG,K. Collins,2001,28.791238877481177,2000s
NYG,K.Collins,2000,27.79192334017796,2000s
NYG,K.Warner,2004,33.31690622861054,2000s
NYG,T.DeVito,2023,25.188227241615333,2020s
NYJ,A.Rodgers,2024,40.87063655030801,2020s
NYJ,A.Rodgers,2024,40.87063655030801,2020s
NYJ,B.Bollinger,2005,25.916495550992472,2000s
NYJ,B.Favre,2008,39.01437371663244,2000s
NYJ,C.Pennington,2002,26.302532511978097,2000s
NYJ,G.Smith,2013,23.014373716632445,2010s
