player_norm,season,first_start_date,age_first_start,era_of_first
R.Tannehill,2012,2012-09-09,24.12046543463381,2010s
R.Wilson,2012,2012-09-09,20.057494866529773,2010s
S.Bradford,2010,2010-09-12,22.844626967830255,2010s
S.Hill,2008,2008-10-26,17.505817932922657,2000s
S.Howell,2023,2023-09-10,22.981519507186857,2020s
T.Brady,2001,2001-09-30,24.15879534565366,2000s
T.Bridgewater,2014,2014-09-21,21.861738535249827,2010s
T.Couch,2000,2000-09-03,0.9938398357289527,2000s
T.DeVito,2023,2023-10-29,25.22655715263518,2020s
T.Edwards,2007,2007-09-23,11.1129363449692,2000s
T.Green,2004,2004-09-12,9.49760438056126,2000s
T.Heinicke,2021,2021-09-12,28.49555099247091,2020s
T.Jackson,2007,2007-09-09,21.259411362080765,2000s
T.Lawrence,2021,2021-09-12,21.935660506502394,2020s
T.Pryor,2013,2013-09-08,24.21902806297057,2010s
T.Siemian,2016,2016-09-08,24.70362765229295,2010s
T.Tagovailoa,2020,2020-11-01,22.6694045174538,2020s
T.Taylor,2015,2015-09-13,18.17659137577002,2010s
T.Tebow,2011,2011-10-23,24.191649555099247,2010s
W.Levis,2024,2024-09-08,25.201916495550993,2020s
Z.Wilson,2021,2021-09-12,22.11088295687885,2020s
