season,team,qb_name,starts,first_start_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2002,JAX,M. Brunell,13,2002-09-15,M. Brunell,,,JAX,False
2002,KC,T. Green,16,2002-09-08,T. Green,,,KC,False
2002,LA,M. Bulger,6,2002-10-13,M. Bulger,,,LAR,False
2002,LAC,D.Brees,14,2002-09-08,D.Brees,LAC,2001.0,LAC,True
2002,LV,R. Gannon,10,2002-10-27,R. Gannon,,,LV,False
2002,MIA,J. Fiedler,7,2002-09-29,J. Fiedler,,,MIA,False
2002,MIN,D.Culpepper,16,2002-09-08,D.Culpepper,MIN,1999.0,MIN,True
2002,NE,T.Brady,16,2002-09-09,T.Brady,NE,2000.0,NE,True
2002,NO,A.Brooks,16,2002-09-08,A.Brooks,GB,1999.0,NO,False
2002,NYG,K.Collins,16,2002-09-05,K.Collins,CAR,1995.0,NYG,False
2002,NYJ,C.Pennington,13,2002-09-29,C.Pennington,NYJ,2000.0,NYJ,True
2002,PHI,D.McNabb,10,2002-09-08,D.McNabb,PHI,1999.0,PHI,True
2002,PIT,T.Maddox,11,2002-10-06,T.Maddox,,,PIT,False
2002,SEA,M.Hasselbeck,11,2002-09-08,M.Hasselbeck,GB,1998.0,SEA,False
2002,SF,J.Garcia,15,2002-09-05,J.Garcia,,,SF,False
2002,TB,B.Johnson,13,2002-09-08,B.Johnson,MIN,1992.0,TB,False
2002,TEN,S.McNair,16,2002-09-08,S.McNair,TEN,1995.0,TEN,True
2002,WAS,S.Matthews,7,2002-09-08,S.Matthews,CHI,1996.0,WAS,False
2003,ARI,J.Blake,11,2003-09-07,J.Blake,NYJ,1992.0,ARI,False
2003,ATL,D.Johnson,8,2003-09-07,D.Johnson,,,ATL,False
2003,BAL,K.Boller,9,2003-09-07,K.Boller,BAL,2003.0,BAL,True
2003,BUF,D.Bledsoe,14,2003-09-07,D.Bledsoe,NE,1993.0,BUF,False
2003,CAR,J.Delhomme,16,2003-09-07,J.Delhomme,,,CAR,False
2003,CHI,K.Stewart,7,2003-09-07,K.Stewart,,,CHI,False
2003,CIN,J.Kitna,16,2003-09-07,J.Kitna,,,CIN,False
2003,CLE,K. Holcomb,5,2003-11-09,K. Holcomb,,,CLE,False
2003,DAL,Q.Carter,16,2003-09-07,Q.Carter,,,DAL,False
2003,DEN,J.Plummer,9,2003-09-07,J.Plummer,ARI,1997.0,DEN,False
2003,DET,J.Harrington,12,2003-09-07,J.Harrington,DET,2002.0,DET,True
2003,GB,B.Favre,16,2003-09-07,B.Favre,ATL,1991.0,GB,False
2003,HOU,D.Carr,9,2003-09-07,D.Carr,LV,2014.0,HOU,False
2003,IND,P.Manning,16,2003-09-07,P.Manning,IND,1998.0,IND,True
2003,JAX,B.Leftwich,13,2003-09-28,B.Leftwich,JAX,2003.0,JAX,True
2003,KC,T. Green,16,2003-09-07,T. Green,,,KC,False
2003,LA,M.Bulger,15,2003-09-14,M.Bulger,NO,2000.0,LAR,False
2003,LAC,D. Brees,11,2003-09-07,D. Brees,,,LAC,False
2003,LV,R.Gannon,6,2003-09-07,R.Gannon,NE,1987.0,LV,False
2003,MIA,J.Fiedler,11,2003-09-07,J.Fiedler,,,MIA,False
2003,MIN,D. Culpepper,13,2003-09-07,D. Culpepper,,,MIN,False
2003,NE,T.Brady,16,2003-09-07,T.Brady,NE,2000.0,NE,True
2003,NO,A.Brooks,16,2003-09-07,A.Brooks,GB,1999.0,NO,False
2003,NYG,K.Collins,12,2003-09-07,K.Collins,CAR,1995.0,NYG,False
2003,NYJ,C.Pennington,10,2003-10-26,C.Pennington,NYJ,2000.0,NYJ,True
2003,PHI,D.McNabb,16,2003-09-08,D.McNabb,PHI,1999.0,PHI,True
2003,PIT,T. Maddox,12,2003-09-14,T. Maddox,,,PIT,False
2003,SEA,M.Hasselbeck,16,2003-09-07,M.Hasselbeck,GB,1998.0,SEA,False
2003,SF,J.Garcia,13,2003-09-07,J.Garcia,,,SF,False
2003,TB,B.Johnson,16,2003-09-08,B.Johnson,MIN,1992.0,TB,False
