season,qb,team,metric,metric_name,source_file,sheet
2020,Josh Allen,BUF,4.0,CPOE,2020.xlsx,Sheet1
2020,Justin Herbert,LAC,2.8,CPOE,2020.xlsx,Sheet1
2020,Aaron Rodgers,GB,3.7,CPOE,2020.xlsx,Sheet1
2020,Kirk Cousins,MIN,5.2,CPOE,2020.xlsx,Sheet1
2020,Russell Wilson,SEA,2.6,CPOE,2020.xlsx,Sheet1
2020,Philip Rivers,IND,2.4,CPOE,2020.xlsx,Sheet1
2020,Derek Carr,LV,3.1,CPOE,2020.xlsx,Sheet1
2020,Matthew Stafford,DET,-0.6,CPOE,2020.xlsx,Sheet1
2020,Kyler Murray,ARI,1.5,CPOE,2020.xlsx,Sheet1
2020,Jared Goff,LAR,0.7,CPOE,2020.xlsx,Sheet1
2020,Ryan Tannehill,TEN,3.6,CPOE,2020.xlsx,Sheet1
2020,Ben Roethlisberger,PIT,-0.9,CPOE,2020.xlsx,Sheet1
2020,Teddy Bridgewater,CAR,2.3,CPOE,2020.xlsx,Sheet1
2020,Baker Mayfield,CLE,0.5,CPOE,2020.xlsx,Sheet1
2020,Daniel Jones,NYG,2.2,CPOE,2020.xlsx,Sheet1
2020,Drew Brees,NO,1.7,CPOE,2020.xlsx,Sheet1
2020,Drew Lock,DEN,-2.8,CPOE,2020.xlsx,Sheet1
2020,Lamar Jackson,BAL,-1.9,CPOE,2020.xlsx,Sheet1
2020,Joe Burrow,CIN,4.0,CPOE,2020.xlsx,Sheet1
2020,Cam Newton,NE,-1.4,CPOE,2020.xlsx,Sheet1
2020,Carson Wentz,PHI,-4.3,CPOE,2020.xlsx,Sheet1
2020,Nick Mullens,SF,-1.3,CPOE,2020.xlsx,Sheet1
2020,Gardner Minshew,JAX,3.1,CPOE,2020.xlsx,Sheet1
2020,Sam Darnold,NYJ,-2.3,CPOE,2020.xlsx,Sheet1
2020,Andy Dalton,DAL,-0.7,CPOE,2020.xlsx,Sheet1
2020,Ryan Fitzpatrick,MIA,7.2,CPOE,2020.xlsx,Sheet1
2020,Mitchell Trubisky,CHI,2.2,CPOE,2020.xlsx,Sheet1
2020,Dak Prescott,DAL,3.6,CPOE,2020.xlsx,Sheet1
2020,Nick Foles,CHI,1.5,CPOE,2020.xlsx,Sheet1
2020,Tua Tagovailoa,MIA,-0.2,CPOE,2020.xlsx,Sheet1
2020,Alex Smith,WAS,-1.3,CPOE,2020.xlsx,Sheet1
2020,Dwayne Haskins,WAS,-5.9,CPOE,2020.xlsx,Sheet1
2020,Jimmy Garoppolo,SF,-2.8,CPOE,2020.xlsx,Sheet1
2020,Mike Glennon,JAX,-0.3,CPOE,2020.xlsx,Sheet1
2020,Jalen Hurts,PHI,-4.0,CPOE,2020.xlsx,Sheet1
2020,Brandon Allen,CIN,-2.8,CPOE,2020.xlsx,Sheet1
2020,Joe Flacco,NYJ,-4.0,CPOE,2020.xlsx,Sheet1
2021,Tom Brady,NFC,0.2,CPOE,2021.xlsx,Sheet1
2021,Justin Herbert,AFC,-0.3,CPOE,2021.xlsx,Sheet1
2021,Matthew Stafford,LAR,-1.0,CPOE,2021.xlsx,Sheet1
2021,Patrick Mahomes,AFC,-1.8,CPOE,2021.xlsx,Sheet1
2021,Derek Carr,LV,2.5,CPOE,2021.xlsx,Sheet1
2021,Joe Burrow,CIN,5.9,CPOE,2021.xlsx,Sheet1
2021,Dak Prescott,DAL,2.0,CPOE,2021.xlsx,Sheet1
2021,Josh Allen,BUF,-1.5,CPOE,2021.xlsx,Sheet1
