era,Regular-season primary starters % drafted-by-team,Playoff first-game starters % drafted-by-team,Super Bowl starters % drafted-by-team
2000s,55.7,55.9,62.5
2010s,63.1,73.5,80.0
2020s,65.8,70.6,80.0
